 trial_no )----------variables-----------sum of variables--------objective value------------------
 1 )  0.000312 + 0.731853 + 0.035468 + 0.232367 +  = 1.000000, objective value => 0.032258 
 2 )  0.102244 + 0.261303 + 0.213145 + 0.423308 +  = 1.000000, objective value => 0.010000 
 3 )  0.001941 + 0.385874 + 0.233227 + 0.378958 +  = 1.000000, objective value => 0.014493 
 4 )  0.023112 + 0.467318 + 0.467960 + 0.041610 +  = 1.000000, objective value => 0.032258 
 5 )  0.309845 + 0.221430 + 0.174227 + 0.294498 +  = 1.000000, objective value => 0.009259 
 6 )  0.120193 + 0.378296 + 0.204590 + 0.296920 +  = 1.000000, objective value => 0.011905 
 7 )  0.256161 + 0.280475 + 0.264417 + 0.198948 +  = 1.000000, objective value => 0.010000 
 8 )  0.056129 + 0.190859 + 0.289040 + 0.463973 +  = 1.000000, objective value => 0.014925 
 9 )  0.496085 + 0.281086 + 0.006727 + 0.216102 +  = 1.000000, objective value => 0.008197 
 10 )  0.351465 + 0.059538 + 0.348239 + 0.240758 +  = 1.000000, objective value => 0.007519 
 11 )  0.066611 + 0.053801 + 0.215449 + 0.664139 +  = 1.000000, objective value => 0.007874 
 12 )  0.192977 + 0.310064 + 0.173390 + 0.323570 +  = 1.000000, objective value => 0.009615 
 13 )  0.296986 + 0.084982 + 0.408673 + 0.209359 +  = 1.000000, objective value => 0.007874 
 14 )  0.295405 + 0.279712 + 0.020139 + 0.404744 +  = 1.000000, objective value => 0.008333 
 15 )  0.446479 + 0.327309 + 0.106887 + 0.119325 +  = 1.000000, objective value => 0.008197 
 16 )  0.319959 + 0.250026 + 0.122856 + 0.307159 +  = 1.000000, objective value => 0.010000 
 17 )  0.210504 + 0.130299 + 0.076162 + 0.583035 +  = 1.000000, objective value => 0.007813 
 18 )  0.113638 + 0.446050 + 0.263829 + 0.176483 +  = 1.000000, objective value => 0.020408 
 19 )  0.378659 + 0.238866 + 0.042329 + 0.340145 +  = 1.000000, objective value => 0.007813 
 20 )  0.322047 + 0.241719 + 0.133059 + 0.303175 +  = 1.000000, objective value => 0.010000 
 21 )  0.307015 + 0.226268 + 0.295311 + 0.171406 +  = 1.000000, objective value => 0.008197 
 22 )  0.020124 + 0.430540 + 0.023421 + 0.525916 +  = 1.000000, objective value => 0.016129 
 23 )  0.585108 + 0.056824 + 0.216466 + 0.141602 +  = 1.000000, objective value => 0.007874 
 24 )  0.305980 + 0.103127 + 0.166731 + 0.424162 +  = 1.000000, objective value => 0.007519 
 25 )  0.485690 + 0.346843 + 0.158268 + 0.009199 +  = 1.000000, objective value => 0.008197 
