 trial_no )----------variables-----------sum of variables--------objective value------------------
 1 )  0.001252 + 0.150552 + 0.299893 + 0.548303 +  = 1.000000, objective value => 0.019530 
 2 )  0.259987 + 0.226539 + 0.202222 + 0.311252 +  = 1.000000, objective value => 0.010475 
 3 )  0.033591 + 0.325020 + 0.508436 + 0.132953 +  = 1.000000, objective value => 0.019530 
 4 )  0.310345 + 0.117849 + 0.145561 + 0.426245 +  = 1.000000, objective value => 0.008760 
 5 )  0.333826 + 0.024272 + 0.290507 + 0.351395 +  = 1.000000, objective value => 0.007950 
 6 )  0.413349 + 0.025693 + 0.394459 + 0.166498 +  = 1.000000, objective value => 0.007950 
 7 )  0.409606 + 0.114981 + 0.342744 + 0.132669 +  = 1.000000, objective value => 0.008760 
 8 )  0.184646 + 0.347877 + 0.365630 + 0.101846 +  = 1.000000, objective value => 0.009433 
 9 )  0.147041 + 0.313992 + 0.117643 + 0.421323 +  = 1.000000, objective value => 0.009498 
 10 )  0.197242 + 0.258842 + 0.215586 + 0.328330 +  = 1.000000, objective value => 0.008584 
 11 )  0.098191 + 0.153872 + 0.320127 + 0.427810 +  = 1.000000, objective value => 0.008539 
 12 )  0.413921 + 0.327205 + 0.189650 + 0.069224 +  = 1.000000, objective value => 0.008840 
 13 )  0.057620 + 0.640015 + 0.280917 + 0.021448 +  = 1.000000, objective value => 0.019530 
 14 )  0.313832 + 0.292789 + 0.122755 + 0.270624 +  = 1.000000, objective value => 0.010475 
 15 )  0.208155 + 0.307870 + 0.359489 + 0.124486 +  = 1.000000, objective value => 0.009272 
 16 )  0.292896 + 0.138993 + 0.239967 + 0.328145 +  = 1.000000, objective value => 0.008760 
 17 )  0.289918 + 0.266223 + 0.225488 + 0.218371 +  = 1.000000, objective value => 0.010475 
 18 )  0.000430 + 0.401409 + 0.099467 + 0.498694 +  = 1.000000, objective value => 0.019530 
 19 )  0.099019 + 0.346699 + 0.373276 + 0.181006 +  = 1.000000, objective value => 0.019530 
 20 )  0.165158 + 0.382092 + 0.077613 + 0.375138 +  = 1.000000, objective value => 0.019530 
 21 )  0.386628 + 0.270366 + 0.114195 + 0.228811 +  = 1.000000, objective value => 0.010475 
 22 )  0.324593 + 0.337480 + 0.144922 + 0.193005 +  = 1.000000, objective value => 0.008584 
 23 )  0.540087 + 0.086793 + 0.313563 + 0.059557 +  = 1.000000, objective value => 0.007950 
 24 )  0.040705 + 0.314722 + 0.236282 + 0.408291 +  = 1.000000, objective value => 0.019530 
 25 )  0.298677 + 0.358191 + 0.120815 + 0.222317 +  = 1.000000, objective value => 0.010475 
 26 )  0.315249 + 0.127006 + 0.307490 + 0.250256 +  = 1.000000, objective value => 0.008760 
 27 )  0.151086 + 0.156100 + 0.034317 + 0.658497 +  = 1.000000, objective value => 0.010475 
